C9AD  30 07     BMI $07                          A:00 X:00 Y:00 P:66 SP:FB
C9AF  50 05     BVC $05                          A:00 X:00 Y:00 P:66 SP:FB
C9B1  B0 03     BCS $03                          A:00 X:00 Y:00 P:66 SP:FB
C9B3  4C BA C9  JMP $C9BA                        A:00 X:00 Y:00 P:66 SP:FB
C9BA  EA        NOP                              A:00 X:00 Y:00 P:66 SP:FB
C9BB  24 01     BIT $01 = FF                     A:00 X:00 Y:00 P:66 SP:FB
C9BD  A9 40     LDA #$40                         A:00 X:00 Y:00 P:E6 SP:FB
C9BF  C9 40     CMP #$40                         A:40 X:00 Y:00 P:64 SP:FB
C9C1  30 09     BMI $09                          A:40 X:00 Y:00 P:67 SP:FB
C9C3  90 07     BCC $07                          A:40 X:00 Y:00 P:67 SP:FB
C9C5  D0 05     BNE $05                          A:40 X:00 Y:00 P:67 SP:FB
C9C7  50 03     BVC $03                          A:40 X:00 Y:00 P:67 SP:FB
C9C9  4C D0 C9  JMP $C9D0                        A:40 X:00 Y:00 P:67 SP:FB
C9D0  EA        NOP                              A:40 X:00 Y:00 P:67 SP:FB
C9D1  B8        CLV                              A:40 X:00 Y:00 P:67 SP:FB
C9D2  C9 3F     CMP #$3F                         A:40 X:00 Y:00 P:27 SP:FB
C9D4  F0 09     BEQ $09                          A:40 X:00 Y:00 P:25 SP:FB
C9D6  30 07     BMI $07                          A:40 X:00 Y:00 P:25 SP:FB
C9D8  90 05     BCC $05                          A:40 X:00 Y:00 P:25 SP:FB
C9DA  70 03     BVS $03                          A:40 X:00 Y:00 P:25 SP:FB
C9DC  4C E3 C9  JMP $C9E3                        A:40 X:00 Y:00 P:25 SP:FB
C9E3  EA        NOP                              A:40 X:00 Y:00 P:25 SP:FB
C9E4  C9 41     CMP #$41                         A:40 X:00 Y:00 P:25 SP:FB
C9E6  F0 07     BEQ $07                          A:40 X:00 Y:00 P:A4 SP:FB
C9E8  10 05     BPL $05                          A:40 X:00 Y:00 P:A4 SP:FB
C9EA  10 03     BPL $03                          A:40 X:00 Y:00 P:A4 SP:FB
